Questions,Option1,Option2,Option3,Option4,Correct Option
What is 2+2?,2,4,3,1,2
What is 2-2?,0,1,4,3,1
What is 2*2?,3,2,4,5,3
what is 2/2?,2,4,3,1,4
what is sdlc?,software development life cycle,skill development life cycle,framework,language,1
what is php?,database,language,framework,none of these,2
what is python?,database,language,framework,none of these,2
what is html?,database,language,framework,none of these,2
what is mysql?,database,language,framework,none of these,1
what is django?,database,language,framework,none of these,3
what is laravel?,database,language,framework,none of these,3
what is pyramid?,database,language,framework,none of these,3
what is css?,database,language,framework,none of these,2
what is the extension of php?,.py,.html,.css,.php,4
what is the extension of python?,.py,.html,.css,.php,1
what is the extension of html?,.py,.html,.css,.php,2
what is the extension of css?,.py,.html,.css,.php,3
how many phases are there is sdlc?,5,6,8,7,4
what is the first phase of sdlc?,planning,analysis,design,implementation,1
what is the second phase of sdlc?,planning,analysis,design,implementation,2
what is the third phase of sdlc?,planning,analysis,design,implementation,3
what is the fourth phase of sdlc?,planning,analysis,design,implementation,4
what is the fifth phase of sdlc?,planning,analysis,design,testing,4
what is the sixth phase of sdlc?,planning,deployment,design,testing,2
what is the seventh phase of sdlc?,planning,deployment,design,maintenance,4
what is the phase between implementation and deployment?,planning,testing,design,maintenance,2
what is the phase between testing and maintenance?,planning,deployment,design,analysis,2
what is the phase between planning and design?,analysis,implementation,testing,deployment,1
what is the  phase between design and testing?,analysis,implementation,testing,deployment,2
how many phases are there before the implementation phase?,1,2,3,4,3
